timestamp,j0_pos,j0_vel,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel,j7_pos,j7_vel,j8_pos,j8_vel,j9_pos,j9_vel
103.8887,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,-0.010990,-1.790837,-0.032967,2.263485,0.010990,0.601015,0.032967
103.8987,12.500000,45.000000,0.092126,0.032967,1.920920,0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006676,-0.010990,0.079919,0.010990,-1.790456,0.010990,2.263485,-0.010990,0.601015,0.032967
103.9088,12.500000,45.000000,0.091744,0.010990,1.920539,0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.010990
103.9188,12.500000,45.000000,0.092126,0.010990,1.920920,0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.032967,0.080300,0.054947,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
103.9287,12.500000,45.000000,0.091744,-0.010990,1.920539,-0.032967,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
103.9387,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
103.9488,12.500000,45.000000,0.091744,-0.010990,1.920920,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006676,-0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.032967,0.601015,-0.010990
103.9589,12.500000,45.000000,0.092126,-0.010990,1.920920,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.032967
103.9692,12.500000,45.000000,0.092126,-0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517090,0.032967,-0.006294,0.032967,0.080300,0.032967,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
103.9792,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.032967,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.032967,0.601015,-0.010990
103.9893,12.500000,45.000000,0.092126,-0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
103.9991,12.500000,45.000000,0.091744,-0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.079919,0.010990,-1.790456,-0.032967,2.263485,0.010990,0.601015,0.010990
104.0095,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.079919,-0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.0192,12.500000,45.000000,0.092126,0.032967,1.920539,-0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006676,-0.010990,0.079919,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
104.0291,12.500000,45.000000,0.092126,0.032967,1.920920,-0.010990,-2.398146,0.032967,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,-0.010990,0.601015,-0.010990
104.0401,12.500000,45.000000,0.092126,0.010990,1.920539,0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.0580,12.500000,45.000000,0.092126,0.010990,1.920920,0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
104.0711,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.010990
104.0733,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.079919,0.010990,-1.790456,0.010990,2.263485,0.032967,0.601015,0.032967
104.0793,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.032967,-0.006294,0.032967,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.010990
104.0892,12.500000,45.000000,0.092126,0.010990,1.920539,0.010990,-2.398146,0.010990,-0.517471,-0.010990,-0.006294,0.032967,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.010990
104.0993,12.500000,45.000000,0.092126,0.032967,1.920920,-0.010990,-2.398146,-0.010990,-0.517471,0.010990,-0.006294,0.010990,0.079919,-0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.1093,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.079919,-0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
104.1193,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.032967
104.1294,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398527,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
104.1393,12.500000,45.000000,0.092126,0.032967,1.920920,-0.032967,-2.398146,0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.1498,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.1597,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398527,0.010990,-0.517090,0.032967,-0.006294,0.010990,0.080300,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,-0.010990
104.1693,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006676,0.010990,0.079919,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
104.1792,12.500000,45.000000,0.092126,0.032967,1.920920,-0.032967,-2.398146,-0.010990,-0.517471,0.032967,-0.006294,0.010990,0.079919,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
104.1899,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006676,0.032967,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.1990,12.500000,45.000000,0.092126,0.032967,1.920920,0.010990,-2.398527,0.010990,-0.517471,0.032967,-0.006676,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.032967
104.2098,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790837,-0.032967,2.263485,0.010990,0.601015,0.010990
104.2196,12.500000,45.000000,0.091744,0.032967,1.920539,-0.032967,-2.398146,0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
